"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-21","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",692041,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-22","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",692280,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-23","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",692461,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-24","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",692652,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-25","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",692743,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-26","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",692743,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-27","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",692743,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-28","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",692969,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-29","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",693199,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-30","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",693562,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-31","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",693734,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-01","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",693853,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-02","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",693853,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-03","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",693853,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-04","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",693981,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-05","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",694192,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-06","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",694411,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-07","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",694569,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-08","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",694779,"Cumulative Count of COVID-19 Deaths"
