"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-15","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",13763573,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-16","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",14198794,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-17","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",14648691,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-18","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",15087602,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-19","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",15623349,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-20","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",15883688,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-21","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",15980363,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-22","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",16567102,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-23","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",17157631,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-24","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",17886781,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-25","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",18655345,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-26","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",19577786,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-27","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",19962072,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-28","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",20216938,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-29","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",21160763,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-30","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",21950245,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-31","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",22839287,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-01","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",23880805,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-02","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",24181208,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-03","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",24575470,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-04","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",24910668,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-05","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",25658532,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-06","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",26736003,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-07","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",27644079,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-08","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",28653848,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-09","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",29544578,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-10","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",30084664,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-11","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",30356896,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-12","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",31316420,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-13","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",32217205,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-14","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",33148388,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-15","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",34050325,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-16","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",34993448,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-17","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",35603882,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-18","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",35817144,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-19","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",36910479,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-20","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",37909705,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-21","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",38467754,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-22","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",39291064,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-23","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",41073104,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-24","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",41494939,"Total COVID-19 Vaccines Administered"
